FIPS,% Population 25 Years and Over: Less than High School,% Population 25 Years and Over: High School Diploma,% Population 25 Years and Over: Bachelor's Degree or Better,Gini Index,Median Gross Rent as a Percentage of Household  Income in the Past 12 Months (Dollars)
Geo_FIPS,PCT_SE_B12001_002,PCT_SE_B12001_003,PCT_SE_B12001_004,SE_A14028_001,SE_A18003_001
6001,12.04,41.98,45.98,0.4624,30.1000003814697
6003,11.1,58.93,29.97,0.4967,15
6005,9.7,69.98,20.32,0.4437,34.2000007629395
6007,10.7,62.75,26.55,0.4893,36.5999984741211
6009,9.63,71.66,18.71,0.4464,35.5
6011,30.61,53.96,15.42,0.4982,27.7999992370605
6013,10.62,47.67,41.71,0.4703,31.5
6015,18.95,66.73,14.31,0.4857,31.2999992370605
6017,6.9,59.4,33.7,0.4494,30.3999996185303
6019,24.71,54.6,20.69,0.4785,34.0999984741211
6021,24.69,61.45,13.86,0.4548,29.2000007629395
6023,9.66,60.57,29.78,0.4754,35.7999992370605
6025,31.03,54.52,14.45,0.4768,32.7999992370605
6027,11.16,62.78,26.06,0.424,30.1000003814697
6029,26.23,57.65,16.12,0.4645,32.2999992370605
6031,26.29,60.24,13.47,0.4346,29.6000003814697
6033,14.81,69.4,15.79,0.4796,35.2000007629395
6035,17.21,70.75,12.05,0.4231,29.6000003814697
6037,21.34,46.85,31.81,0.5022,34.4000015258789
6039,28.12,57.37,14.52,0.4408,33.0999984741211
6041,6.76,34.45,58.79,0.5158,31.2999992370605
6043,9.63,66.96,23.41,0.4349,33.7000007629395
6045,13.11,62.23,24.66,0.4736,35.0999984741211
6047,30.65,55.4,13.95,0.4708,31.2000007629395
6049,14.38,69.7,15.92,0.4113,22.6000003814697
6051,11.26,58.11,30.63,0.3701,24.6000003814697
6053,28.71,46.83,24.46,0.4619,32.5999984741211
6055,14.94,50.17,34.9,0.4719,32
6057,5.79,57.59,36.63,0.4634,33.2999992370605
6059,14.89,45.25,39.86,0.47,33.5
6061,5.43,56.02,38.55,0.4474,31.2999992370605
6063,6.06,70.45,23.49,0.4549,29.6000003814697
6065,18.32,59.87,21.81,0.4547,34.7000007629395
6067,12.63,56.93,30.44,0.4583,32.5999984741211
6069,20.11,60.23,19.66,0.3989,29.5
6071,20.49,59.23,20.28,0.441,34.5
6073,12.86,49,38.14,0.463,33.4000015258789
6075,11.52,31.34,57.14,0.5128,25
6077,21.15,60.42,18.44,0.4546,32.7000007629395
6079,9.13,56.26,34.61,0.4538,32.2999992370605
6081,10.83,39.23,49.94,0.4852,29.6000003814697
6083,19.01,47.16,33.83,0.4798,33.7999992370605
6085,11.91,36.76,51.33,0.4652,28.7999992370605
6087,13.6,46.37,40.04,0.4826,36.0999984741211
6089,9.2,68.61,22.19,0.4603,33.7999992370605
6091,6.7,74.59,18.71,0.4269,32.2000007629395
6093,10.01,67.46,22.53,0.488,32.7999992370605
6095,12.02,61.78,26.2,0.4231,32
6097,11.97,53.15,34.88,0.4578,32.7000007629395
6099,21.67,61.41,16.92,0.4451,32.4000015258789
6101,22.01,60.27,17.72,0.4466,30
6103,15.61,68.9,15.48,0.4585,33.2999992370605
6105,9.35,70.93,19.72,0.4821,34.7999992370605
6107,30.23,55.46,14.31,0.4755,33
6109,9.57,70.4,20.03,0.4881,31.1000003814697
6111,15.56,51.34,33.1,0.4476,33.9000015258789
6113,13.63,44.78,41.59,0.4931,33.4000015258789
6115,17.96,65.37,16.66,0.4276,31.5
48001,19.88,68.38,11.74,0.4225,28.3999996185303
48003,25.4,64.2,10.4,0.4506,23.6000003814697
48005,18.91,64.76,16.32,0.4495,30.3999996185303
48007,15.12,63.18,21.7,0.5351,36.2999992370605
48009,9.03,67.53,23.44,0.4316,27.6000003814697
48011,11.61,65.18,23.21,0.3662,15.3999996185303
48013,22.75,63.96,13.29,0.451,23
48015,16.9,59.56,23.54,0.4278,32
48017,25.91,56.39,17.7,0.4342,23.2999992370605
48019,10.68,65.52,23.8,0.4245,28.2999992370605
